genotype,experiment,Max,Max_x,Max_y,s_x,s_y,rmse,n_peaks,variation,qc_result
WT,EXP13,92.34305330049236,5.791239238350213,5.703782474656147,1.293733251433013,12.775001533806146,0.129070246348875,1,0.04687589218123204,Pass
R111X-R408W,EXP13,2.548443234756733,8.006367567650244,5.703782474655742,2.466782337885434,3.037064470750689,0.13263282377189187,3,0.015560359464564787,Pass
